,data,altitude,campanha,chuva_gdas,evt_id,evt_soma_chuva,evt_media_chuva,evt_max_chuva,direcao,velocidade,direcao_cat,velocidade_cat,evt_soma_chuva_cat
231,2019-02-13 10:00:00,2391,PS190313 - PP1,0.3,471,108.6,8.3538,16.2,210.1013046,24.64456616,SSW,20-30 km/h,95-110 mm
232,2019-02-13 13:00:00,2391,PS190313 - PP1,0.5,471,108.6,8.3538,16.2,197.1218085,22.74085122,SSW,20-30 km/h,95-110 mm
233,2019-02-13 19:00:00,2391,PS190313 - PP1,0.0,471,108.6,8.3538,16.2,224.7561896,17.1156746,SW,10-20 km/h,95-110 mm
234,2019-02-13 22:00:00,2391,PS190313 - PP1,0.0,471,108.6,8.3538,16.2,227.2457426,14.86914792,SW,10-20 km/h,95-110 mm
235,2019-02-17 19:00:00,2391,PS190313 - PP1,1.0,484,8.8,8.8,8.8,288.6049655,32.92989094,WNW,30-40 km/h,5-20 mm
236,2019-02-18 19:00:00,2391,PS190313 - PP1,0.2,487,30.2,10.0667,25.4,295.5084865,22.48256669,WNW,20-30 km/h,20-35 mm
237,2019-02-18 22:00:00,2391,PS190313 - PP1,0.7,487,30.2,10.0667,25.4,300.650668,16.16312547,WNW,10-20 km/h,20-35 mm
238,2019-02-19 02:00:00,2391,PS190313 - PP1,0.7,488,20.8,2.9714,10.4,315.6437457,12.96491404,NW,10-20 km/h,20-35 mm
239,2019-02-19 01:00:00,2391,PS190313 - PP1,0.7,488,20.8,2.9714,10.4,312.540956,11.88255785,NW,10-20 km/h,20-35 mm
240,2019-02-19 04:00:00,2391,PS190313 - PP1,0.0,488,20.8,2.9714,10.4,317.5385446,14.79941908,NW,10-20 km/h,20-35 mm
241,2019-02-20 19:00:00,2391,PS190313 - PP1,0.0,492,5.6,2.8,5.0,288.0761073,15.60203528,WNW,10-20 km/h,5-20 mm
242,2019-02-25 22:00:00,2391,PS190313 - PP1,0.0,500,31.4,3.925,12.8,302.8069655,14.82806545,WNW,10-20 km/h,20-35 mm
243,2019-02-26 02:00:00,2391,PS190313 - PP1,0.0,500,31.4,3.925,12.8,320.6837063,15.44347529,NW,10-20 km/h,20-35 mm
244,2019-02-26 01:00:00,2391,PS190313 - PP1,0.0,500,31.4,3.925,12.8,315.8905363,14.05827376,NW,10-20 km/h,20-35 mm
245,2019-02-26 04:00:00,2391,PS190313 - PP1,0.0,500,31.4,3.925,12.8,324.3099402,18.0082179,NW,10-20 km/h,20-35 mm
246,2019-02-26 07:00:00,2391,PS190313 - PP1,0.0,500,31.4,3.925,12.8,317.7791669,22.53158843,NW,20-30 km/h,20-35 mm
247,2019-02-28 04:00:00,2391,PS190313 - PP1,0.0,504,7.6,3.8,5.2,319.3527031,27.82925815,NW,20-30 km/h,5-20 mm
248,2019-03-02 02:00:00,2391,PS190313 - PP1,0.0,505,17.2,3.44,9.4,322.3231729,36.56862658,NW,30-40 km/h,5-20 mm
249,2019-03-02 04:00:00,2391,PS190313 - PP1,0.7,505,17.2,3.44,9.4,321.867509,40.20036032,NW,40-50 km/h,5-20 mm
250,2019-03-02 07:00:00,2391,PS190313 - PP1,1.0,505,17.2,3.44,9.4,315.9843667,42.39447969,NW,40-50 km/h,5-20 mm
251,2019-03-09 19:00:00,2391,PS190313 - PP1,0.0,513,8.4,4.2,7.8,111.5953104,5.317234714,ESE,0-10 km/h,5-20 mm
252,2019-03-09 22:00:00,2391,PS190313 - PP1,0.0,513,8.4,4.2,7.8,144.9262455,5.915106254,SE,0-10 km/h,5-20 mm
253,2019-03-10 19:00:00,2391,PS190313 - PP1,0.0,515,76.2,19.05,53.8,245.8333702,8.805747044,WSW,0-10 km/h,65-80 mm
254,2019-03-10 22:00:00,2391,PS190313 - PP1,0.0,515,76.2,19.05,53.8,226.499547,13.91567738,SW,10-20 km/h,65-80 mm
255,2019-03-11 19:00:00,2391,PS190313 - PP1,0.5,519,10.8,5.4,9.8,224.1696845,10.05187127,SW,10-20 km/h,5-20 mm
256,2019-03-11 22:00:00,2391,PS190313 - PP1,0.7,520,76.0,12.6667,53.8,181.5693548,7.521821388,S,0-10 km/h,65-80 mm
257,2019-03-12 02:00:00,2391,PS190313 - PP1,0.7,520,76.0,12.6667,53.8,60.39554925,5.212451343,ENE,0-10 km/h,65-80 mm
258,2019-03-12 01:00:00,2391,PS190313 - PP1,0.7,520,76.0,12.6667,53.8,78.92979742,4.827833158,E,0-10 km/h,65-80 mm
259,2019-03-14 19:00:00,2391,PS190413 - PP1,0.0,525,5.6,5.6,5.6,256.8018795,23.90953711,WSW,20-30 km/h,5-20 mm
260,2019-03-16 19:00:00,2391,PS190413 - PP1,0.4,533,49.6,9.92,32.4,311.3785153,5.765240411,NW,0-10 km/h,35-50 mm
261,2019-03-16 22:00:00,2391,PS190413 - PP1,0.5,533,49.6,9.92,32.4,49.39870535,0.949613079,NE,0-10 km/h,35-50 mm
262,2019-03-19 19:00:00,2391,PS190413 - PP1,0.0,539,41.8,13.9333,40.4,233.4206955,24.37011344,SW,20-30 km/h,35-50 mm
263,2019-03-19 22:00:00,2391,PS190413 - PP1,0.3,539,41.8,13.9333,40.4,226.9636575,25.50617764,SW,20-30 km/h,35-50 mm
264,2019-03-20 19:00:00,2391,PS190413 - PP1,0.0,542,9.8,1.6333,3.6,252.5176248,27.42895995,WSW,20-30 km/h,5-20 mm
265,2019-03-20 22:00:00,2391,PS190413 - PP1,0.0,542,9.8,1.6333,3.6,237.5288077,24.17320252,WSW,20-30 km/h,5-20 mm
266,2019-03-21 02:00:00,2391,PS190413 - PP1,0.0,544,8.8,1.2571,2.2,229.3987054,17.09303542,SW,10-20 km/h,5-20 mm
267,2019-03-21 04:00:00,2391,PS190413 - PP1,0.0,544,8.8,1.2571,2.2,234.338395,16.60729277,SW,10-20 km/h,5-20 mm
268,2019-03-21 07:00:00,2391,PS190413 - PP1,0.0,544,8.8,1.2571,2.2,251.9027434,16.57916105,WSW,10-20 km/h,5-20 mm
269,2019-03-21 10:00:00,2391,PS190413 - PP1,0.0,544,8.8,1.2571,2.2,263.2639888,13.17192416,W,10-20 km/h,5-20 mm
270,2019-03-21 13:00:00,2391,PS190413 - PP1,0.0,545,16.4,3.28,5.6,256.8907918,7.720191837,WSW,0-10 km/h,5-20 mm
271,2019-03-21 22:00:00,2391,PS190413 - PP1,0.0,547,76.8,5.9077,12.2,173.5956473,10.15738771,S,10-20 km/h,65-80 mm
272,2019-03-22 02:00:00,2391,PS190413 - PP1,0.0,547,76.8,5.9077,12.2,155.784861,21.34511921,SSE,20-30 km/h,65-80 mm
273,2019-03-22 01:00:00,2391,PS190413 - PP1,0.0,547,76.8,5.9077,12.2,156.7664943,22.19381132,SSE,20-30 km/h,65-80 mm
274,2019-03-22 04:00:00,2391,PS190413 - PP1,0.0,547,76.8,5.9077,12.2,154.4154655,18.84252621,SSE,10-20 km/h,65-80 mm
275,2019-03-22 07:00:00,2391,PS190413 - PP1,0.0,547,76.8,5.9077,12.2,150.1240073,11.16588411,SSE,10-20 km/h,65-80 mm
276,2019-03-22 10:00:00,2391,PS190413 - PP1,0.0,547,76.8,5.9077,12.2,135.6585432,6.336802427,SE,0-10 km/h,65-80 mm
277,2019-03-22 19:00:00,2391,PS190413 - PP1,0.3,549,7.0,1.4,2.2,64.74683661,6.035835153,ENE,0-10 km/h,5-20 mm
278,2019-03-22 22:00:00,2391,PS190413 - PP1,0.3,549,7.0,1.4,2.2,107.4747743,5.8311101,ESE,0-10 km/h,5-20 mm
279,2019-03-27 22:00:00,2391,PS190413 - PP1,0.0,552,13.4,6.7,10.8,178.6521127,8.757423194,S,0-10 km/h,5-20 mm
280,2019-03-28 01:00:00,2391,PS190413 - PP1,0.0,552,13.4,6.7,10.8,157.9057697,11.22747247,SSE,10-20 km/h,5-20 mm
281,2019-03-28 19:00:00,2391,PS190413 - PP1,0.0,554,57.0,5.1818,16.0,152.7004278,3.59320929,SSE,0-10 km/h,50-65 mm
282,2019-03-28 22:00:00,2391,PS190413 - PP1,0.2,554,57.0,5.1818,16.0,154.470302,7.64770665,SSE,0-10 km/h,50-65 mm
283,2019-03-29 02:00:00,2391,PS190413 - PP1,0.4,554,57.0,5.1818,16.0,139.7405106,14.9818094,SE,10-20 km/h,50-65 mm
284,2019-03-29 01:00:00,2391,PS190413 - PP1,0.3,554,57.0,5.1818,16.0,144.6480453,14.775385,SE,10-20 km/h,50-65 mm
285,2019-03-29 04:00:00,2391,PS190413 - PP1,0.0,554,57.0,5.1818,16.0,131.8361164,14.5156932,SE,10-20 km/h,50-65 mm
286,2019-03-29 19:00:00,2391,PS190413 - PP1,0.0,556,19.0,3.8,6.4,156.1940565,7.655332521,SSE,0-10 km/h,5-20 mm
287,2019-03-29 22:00:00,2391,PS190413 - PP1,0.2,556,19.0,3.8,6.4,147.7243557,9.258548482,SSE,0-10 km/h,5-20 mm
288,2019-03-30 22:00:00,2391,PS190413 - PP1,0.0,559,37.4,6.2333,18.2,240.0684882,19.61061575,WSW,10-20 km/h,35-50 mm
289,2019-03-31 02:00:00,2391,PS190413 - PP1,0.0,559,37.4,6.2333,18.2,241.3360429,17.60787937,WSW,10-20 km/h,35-50 mm
290,2019-03-31 01:00:00,2391,PS190413 - PP1,0.0,559,37.4,6.2333,18.2,241.9661481,17.97047467,WSW,10-20 km/h,35-50 mm
291,2019-03-31 04:00:00,2391,PS190413 - PP1,0.1,559,37.4,6.2333,18.2,239.4475907,17.22318928,WSW,10-20 km/h,35-50 mm
